Date,FG,SPX,NQ
2022-08-23,57.42857142857144,4128.73,12881.7900390625
2022-08-24,57.51428571428571,4140.77,12917.8603515625
2022-08-25,58.25714285714287,4199.12,13143.580078125
2022-08-26,55.74285714285714,4057.66,12605.169921875
2022-08-29,54.285714285714285,4030.61,12484.3203125
2022-08-30,49.8,3986.16,12342.7001953125
2022-08-31,52.08571428571429,3955.0,12272.0302734375
2022-09-01,49.371428571428574,3966.85,12274.6201171875
2022-09-02,42.457142857142856,3924.26,12098.4404296875
2022-09-06,40.62857142857143,3908.19,12011.3095703125
2022-09-07,39.62857142857143,3979.87,12259.3896484375
2022-09-08,40.371428571428574,4006.18,12321.1904296875
2022-09-09,43.8,4067.36,12588.2900390625
2022-09-12,47.6,4110.41,12739.7197265625
2022-09-13,36.62857142857143,3932.69,12033.6201171875
2022-09-14,41.885714285714286,3946.01,12134.400390625
2022-09-15,40.65714285714286,3901.35,11927.490234375
2022-09-16,35.285714285714285,3873.33,11861.3798828125
2022-09-19,36.31428571428571,3899.89,11953.26953125
2022-09-20,36.114285714285714,3855.93,11851.5400390625
2022-09-21,27.21428571428571,3789.93,11637.7900390625
2022-09-22,24.48571428571429,3757.99,11501.650390625
2022-09-23,21.685714285714287,3693.23,11311.240234375
2022-09-26,17.62857142857143,3655.04,11254.1103515625
2022-09-27,16.514285714285716,3647.29,11271.75
2022-09-28,17.02857142857143,3719.04,11493.830078125
2022-09-29,13.257142857142858,3640.47,11164.7802734375
2022-09-30,16.45714285714286,3585.62,10971.2197265625
2022-10-03,20.38571428571429,3678.43,11229.73046875
2022-10-04,27.88571428571429,3790.93,11582.5400390625
2022-10-05,29.714285714285715,3783.28,11573.1796875
2022-10-06,23.142857142857142,3744.52,11485.5
2022-10-07,19.67142857142857,3639.66,11039.4697265625
2022-10-10,19.4,3612.39,10926.9697265625
2022-10-11,16.885714285714283,3588.84,10791.349609375
2022-10-12,15.942857142857145,3577.03,10785.6201171875
2022-10-13,19.37142857142857,3669.91,11033.580078125
2022-10-14,16.45714285714286,3583.07,10692.0595703125
2022-10-17,23.4,3677.95,11062.5302734375
2022-10-18,28.800000000000004,3719.98,11147.740234375
2022-10-19,29.428571428571427,3695.16,11103.3798828125
2022-10-20,39.08571428571429,3665.78,11046.7099609375
2022-10-21,43.74285714285715,3752.75,11310.330078125
2022-10-24,47.22857142857142,3797.34,11430.259765625
2022-10-25,51.371428571428574,3859.11,11669.990234375
2022-10-26,53.8,3830.6,11405.900390625
2022-10-27,54.57142857142857,3807.3,11191.6298828125
2022-10-28,57.114285714285714,3901.06,11546.2099609375
2022-10-31,64.05714285714286,3871.98,11405.5703125
2022-11-01,63.51428571428572,3856.1,11288.9501953125
2022-11-02,55.285714285714285,3759.69,10906.33984375
2022-11-03,55.51428571428572,3719.89,10690.599609375
