Date,FG,NQ
2018-11-14,7.0,6769.8701171875
2018-11-15,10.0,6890.4501953125
2018-11-16,10.0,6867.02001953125
2018-11-19,8.0,6642.919921875
2018-11-20,7.0,6526.9599609375
2018-11-21,13.0,6575.66015625
2018-11-23,9.0,6527.35009765625
2018-11-26,17.0,6678.33984375
2018-11-27,19.0,6701.0400390625
2018-11-28,21.0,6913.330078125
2018-11-29,23.0,6892.39990234375
2018-11-30,22.0,6949.009765625
2018-12-03,20.0,7062.1298828125
2018-12-04,20.0,6795.2099609375
2018-12-06,15.0,6838.85009765625
2018-12-07,11.0,6613.27978515625
2018-12-10,9.0,6682.740234375
2018-12-11,8.0,6704.240234375
2018-12-12,10.0,6763.9599609375
2018-12-13,11.0,6767.97021484375
2018-12-14,8.0,6594.9599609375
2018-12-17,10.0,6448.39013671875
2018-12-18,8.0,6491.52001953125
2018-12-19,8.0,6342.97021484375
2018-12-20,5.0,6243.18994140625
2018-12-21,3.0,6046.56005859375
2018-12-24,2.0,5899.35009765625
2018-12-26,4.0,6262.77001953125
2018-12-27,8.0,6288.2998046875
2018-12-28,12.0,6285.27001953125
2018-12-31,12.0,6329.97021484375
2019-01-02,12.0,6360.8701171875
2019-01-03,10.0,6147.1298828125
2019-01-04,16.0,6422.669921875
2019-01-07,19.0,6488.25
2019-01-08,22.0,6551.85009765625
2019-01-09,27.0,6600.68994140625
2019-01-10,31.0,6620.93994140625
2019-01-11,30.0,6601.39990234375
2019-01-14,28.0,6541.0400390625
2019-01-15,31.0,6669.64013671875
2019-01-16,36.0,6668.56005859375
2019-01-17,44.0,6718.4501953125
2019-01-18,51.0,6784.60986328125
2019-01-22,51.0,6646.81005859375
2019-01-23,55.0,6658.759765625
2019-01-24,58.0,6702.5498046875
2019-01-25,58.0,6787.3701171875
2019-01-28,55.0,6697.08984375
2019-01-29,55.0,6632.7900390625
2019-01-30,58.0,6807.91015625
2019-01-31,58.0,6906.83984375
2019-02-01,61.0,6875.52001953125
2019-02-04,62.0,6959.9599609375
2019-02-05,64.0,7023.52001953125
2019-02-06,63.0,6997.6201171875
2019-02-07,63.0,6904.97998046875
2019-02-08,63.0,6913.1298828125
2019-02-11,62.0,6909.18017578125
2019-02-12,67.0,7014.669921875
2019-02-13,65.0,7015.8798828125
2019-02-14,67.0,7022.419921875
2019-02-15,67.0,7055.18017578125
